DIA_SEMANA,ANIO_Y__MES_EVENTO,SEMANA_ANIO,DIA_EVENTO
Sabado,200310,42,18
Sabado,200309,38,20
Jueves,200407,27,1
Viernes,200603,9,3
Martes,200505,21,24
Domingo,200512,51,25
Miercoles,200804,14,2
Domingo,200212,51,22
Domingo,200711,44,4
Domingo,200808,31,3
Martes,200510,41,11
Sabado,201002,8,27
Miercoles,200910,43,21
Miercoles,200912,52,23
Miercoles,200602,6,8
Lunes,200912,52,21
Martes,200807,28,8
Jueves,200708,33,16
Sabado,200403,12,20
Domingo,200607,30,30
Domingo,200910,40,4
Domingo,200605,19,14
Sabado,200707,27,7
Domingo,200705,19,13
Miercoles,200511,45,9
Viernes,200907,30,24
Domingo,200901,4,25
Viernes,200801,3,18
Martes,200810,41,7
Lunes,200701,1,1
Jueves,200805,18,1
Miercoles,200908,32,5
Jueves,200401,1,1
Sabado,200601,3,21
Sabado,200207,29,20
Lunes,200605,20,15
Sabado,200612,51,23
Lunes,200805,19,5
Viernes,200603,9,3
Lunes,200902,7,9
Viernes,200305,21,23
Miercoles,200608,32,9
Viernes,200407,29,16
Viernes,200611,46,17
Domingo,200701,4,28
Domingo,200712,51,23
Lunes,200904,15,6
Sabado,200210,43,26
Jueves,200509,36,8
Domingo,200802,5,3
Martes,200710,44,30
Domingo,200811,46,16
Domingo,201002,6,14
Miercoles,200709,39,26
Viernes,200802,6,8
Domingo,200811,47,23
Domingo,200909,39,27
Sabado,200907,29,18
Jueves,201109,39,29
Miercoles,201107,28,13
Viernes,201102,5,4
Domingo,201109,35,4
Sabado,201101,52,1
Domingo,201103,9,6
Sabado,201109,35,3
Jueves,201103,13,31
Jueves,201104,14,7
Jueves,201109,35,1
Domingo,201106,22,5
Domingo,201112,51,25
Viernes,201112,48,2
Lunes,201110,41,10
Jueves,201105,19,12
Domingo,201103,9,6
Viernes,201106,25,24
Jueves,201102,8,24
Sabado,201110,43,29
Viernes,201104,15,15
Martes,201108,32,9
Sabado,201104,15,16
Domingo,201101,1,9
Jueves,201105,21,26
Sabado,201106,24,18
Viernes,201110,41,14
Miercoles,201102,7,16
Martes,201106,23,7
Viernes,201108,33,19
Viernes,201112,48,2
Viernes,201102,5,4
Domingo,201105,21,29
Sabado,201106,24,18
Viernes,201108,33,19
Miercoles,201112,51,21
Lunes,201111,46,14
Martes,201112,50,13
Miercoles,201111,45,9
Domingo,201105,20,22
Domingo,201103,12,27
Viernes,201104,15,15
Sabado,201108,33,20
Lunes,201107,27,4
Miercoles,201101,4,26
Sabado,201102,6,12
Sabado,201108,34,27
Lunes,201108,32,8
Lunes,201103,13,28
Miercoles,201111,46,16
Martes,201102,6,8
Martes,201103,13,29
Martes,201102,6,8
Domingo,201102,8,27
Martes,201104,17,26
Jueves,201103,11,17
Miercoles,201112,52,28
Lunes,201112,49,5
Domingo,201105,17,1
Lunes,201110,44,31
Jueves,201111,44,3
Domingo,201112,51,25
Miercoles,201110,41,12
Martes,201107,30,26
Martes,201111,48,29
Domingo,201111,45,13
Domingo,201105,17,1
Domingo,201107,28,17
Jueves,201101,2,13
Lunes,201102,7,14
Miercoles,201108,35,31
Miercoles,201108,32,10
Martes,201107,27,5
Jueves,201110,43,27
Lunes,201106,23,6
Sabado,201105,20,21
Domingo,201111,46,20
Jueves,201101,4,27
