DIA_SEMANA,ANIO_Y__MES_EVENTO,SEMANA_ANIO,DIA_EVENTO
Lunes,201302,7,11
Miercoles,201302,7,13
Jueves,201302,7,14
Jueves,200907,27,2
Domingo,201302,7,17
Domingo,201302,7,17
Sabado,201303,9,2
Domingo,201303,10,10
Martes,201303,11,12
Viernes,201303,11,15
Sabado,201303,11,16
Domingo,201303,11,17
Miercoles,201303,12,20
Sabado,201303,12,23
Sabado,201303,12,23
Domingo,201304,15,14
Martes,201304,17,23
Domingo,201304,17,28
Martes,201301,1,1
Sabado,201301,4,26
Domingo,201305,20,19
Lunes,201305,22,27
Viernes,201207,30,27
Sabado,201207,27,7
Miercoles,201207,28,11
Sabado,201207,29,21
Sabado,201207,28,14
Domingo,201306,22,2
Domingo,201306,24,16
Domingo,201306,24,16
Domingo,201306,24,16
Martes,201306,26,25
Domingo,201306,26,30
Sabado,200807,30,26
Domingo,201303,13,31
Viernes,201307,27,5
Domingo,201307,28,14
Viernes,201307,29,19
Sabado,201307,29,20
Domingo,201307,29,21
Lunes,201307,30,22
Jueves,201307,30,25
Viernes,201308,32,9
Viernes,201308,32,9
Domingo,201308,32,11
Lunes,201308,35,26
Jueves,201308,35,29
Sabado,201309,36,7
Miercoles,201309,38,18
Miercoles,201309,38,18
Domingo,201309,39,29
Sabado,201310,40,5
Lunes,201310,42,14
Martes,201310,42,15
Viernes,201310,42,18
Viernes,201310,42,18
Viernes,201310,43,25
Domingo,201310,42,20
Sabado,200308,31,2
Domingo,200807,30,27
Viernes,201104,14,8
Martes,201304,18,30
Sabado,201210,40,6
Sabado,200606,23,10
Domingo,201205,20,20
Domingo,200704,13,1
Martes,200708,33,14
Viernes,200208,35,30
Viernes,201012,50,17
Martes,201205,19,8
Miercoles,200910,41,7
Martes,200710,43,23
Viernes,201202,5,3
Jueves,200901,5,29
Jueves,201309,39,26
Miercoles,201301,4,23
Miercoles,200802,9,27
Domingo,201306,26,30
Domingo,200411,46,14
Domingo,201210,43,28
Domingo,201210,43,28
Domingo,201203,11,18
Miercoles,200301,5,29
Domingo,201304,16,21
Viernes,201106,24,17
Lunes,200906,23,1
Lunes,200305,21,19
Domingo,201306,24,16
Domingo,201205,20,20
Jueves,200409,40,30
Domingo,200210,40,6
Sabado,201304,15,13
Jueves,201207,28,12
Sabado,201211,44,3
Viernes,200806,23,6
Domingo,201210,41,14
Lunes,201312,51,16
Lunes,200509,39,26
Lunes,201008,33,16
Domingo,201303,9,3
Martes,201205,19,8
Sabado,201307,30,27
Sabado,201007,30,31
Jueves,201006,25,24
Martes,201304,18,30
Jueves,201305,18,2
Martes,200612,51,19
Martes,201301,1,1
Viernes,200308,35,29
Jueves,200904,14,2
Sabado,200604,14,8
Jueves,200410,44,28
Jueves,200410,41,7
Domingo,200305,20,18
Sabado,200207,30,27
Sabado,200207,28,13
Miercoles,200207,27,3
Lunes,200207,29,15
Viernes,200207,30,26
Miercoles,200207,27,3
Sabado,200207,30,27
Sabado,200207,28,13
Jueves,200208,31,1
Jueves,200208,34,22
